Skill,Group
journalism,9
bashplotlib,1
data warehousing,2
opengraph,1
geolocation,0
platformio,0
it infrastructure,0
typography,9
usability,0
electricians,0
autohotkey,0
gamesalad,0
visual foxpro,0
cuisine,9
strategic plans,9
product knowledge,9
debugging,0
chardet,1
prospecting,9
gas fitting,9
bulgarian,9
shell,0
scipy,2
entrepreneurship,9
renpy,0
mathematics,2
honcho,9
basque,9
accounting,9
enaml,0
balsamiq,0
elasticsearch-py,1
fastfm,1
turbogears,1
ruby,0
nipy,2
slovakian,9
small business,9
tox,1
x86/x64 assembler,0
annoy,1
facebook marketing,9
product management,9
hypothesis,2
luigi,2
microsoft sql,2
visual arts,9
dns,0
phonenumbers,1
flask-restful,1
bricklaying,9
3d modelling,0
technical writing,0
gunicorn,1
iso,9
immigration,9
punjabi,9
pymongo,1
filmmaking,9
chemistry,2
website management,0
script install,0
game development,0
gardening,9
protocols,0
kpis,9
pypinyin,1
xmltodict,1
wooey,1
google analytics,0
customer service,9
swig,1
sales experience,9
websocket-for-python,1
gevent,1
jd edwards cnc,0
marketing materials,9
chemicals,9
xmldataset,1
engineering,0
openbravo,0
transport,9
flanker,9
conda,1
management consulting,9
xslt,0
moment,0
data science,2
automated billing,0
web scraping,"2,3,4"
electronics,0
curses,1
cold fusion,9
pyshorteners,1
gamification,0
watchkit,0
ibm tivoli,0
openssl,0
support services,9
civil engineering,9
zerorpc,1
leadership development,9
carwashing,9
delphi,0
paramiko,1
marketplace service,9
intuit quickbooks,0
cola,9
pycuda,3
concept art,9
pyjion,1
google chrome,0
communication,9
extensions / additions,0
regular expressions,1
theano,3
simplexmlrpcserver,1
robobrowser,"2,3,4"
freezegun,1
errbot,4
audit,9
forum posting,4
thefuck,0
mariadb,"2,3,4"
hyde,0
green,9
contract management,9
mis,0
hair styles,9
sixpack,2
inbox.py,1
golang,0
datalife engine,"2,3,4"
bengali,9
seaborn,"2,3,4"
youcompleteme,0
aws,"2,3,4"
medical,0
django-haystack,1
fake2db,0
python-readability,1
awesome-slugify,1
email developer,0
history,9
fabric,9
youtube-dl,0
building consultants,9
arrow,9
microsoft word,9
pycassa,1
home automation,0
spyder,"2,3,4"
underwriting,9
carpet repair / laying,9
awesome-flask,1
cython,1
protoshare,0
millwork,9
react.js,0
apple ibooks author,0
urdu,9
as-is analysis,9
cssutils,0
vps,0
norwegian,9
pycallgraph,1
beaker,0
operating systems,0
surprise,9
napalm,9
traditional chinese (hong kong),9
analytical skills,9
data mining,"2,3,4"
lifecycle,9
video editing,0
affiliate marketing,9
uvloop,1
pygeoip,1
six sigma,9
business coaching,9
oauth,0
simplejsonrpcserver,1
modeling,"2,3,4"
public health,9
jdf,9
piping,"2,3,4"
paste,9
business process,9
office software,0
ray-tracing,0
tumblr,0
bulk marketing,9
fulfillment,9
big data,"2,3,4"
attic access ladders,9
roofing,9
service delivery,9
packing / shipping,9
delegator.py subprocesses for,1
logging,0
broadcast,0
migration,9
helpdesk,0
swedish,9
screenwriting,9
wireframing,0
cloud computing,"2,3,4"
gap analysis,9
3d design,0
pathlib,1
bootstrap,2
presentations,9
revenue growth,9
solicitation,9
appcelerator titanium,0
linq,0
legal,9
damp proofing,0
data analysis,2
management,9
keras,3
untangle,0
yoast,0
openvms,0
openserver,0
pay per click,9
mouse,0
sharepoint,0
opps,9
envelopes,9
motion graphics,0
opencl,0
hmap,0
fpga,0
flashmob,9
hadoop,"2,3,4"
supply chain management,9
vlookups,0
pyuserinput,1
journalist,9
cartography / maps,9
pyinstaller,1
actionscript,0
heating systems,9
quarkxpress,0
pydal,1
czech,9
asbestos removal,9
lxml,1
coating materials,9
ai,"2,3,4"
mxnet,"3,4"
windows phone,0
configparser,0
youtube,0
salesforce app development,0
postgresql,"2,3,4"
database programming,0
opengl,0
ember.js,0
jupyter,"1,2,3,4"
instrumentation,9
authomatic,9
pytz,1
cloud-init,0
quicken,0
pyqtgraph,1
field sales,9
flower,9
social networking,9
manufacturing design,9
mqtt,0
computer applications,0
c++ programming,0
grab,0
network administration,0
product design,9
python-jwt,1
firefox,0
scikit-learn,2
supplier sourcing,9
business systems,9
lektor,0
purchase orders,9
deform,0
french (canadian),9
translation,3
feincms,9
adobe photoshop,0
unity 3d,0
lua,0
percol,0
hp openview,0
eve,0
radar,0
property law,9
painting,9
natural language,4
simplified chinese (china),9
tax law,9
vue.js,0
acquisition,"2,3"
analyze,2
assembly,0
attorney,9
landscaping,9
ripozo,1
recruitment,9
pyexcel,1
genetic engineering,9
administrative support,9
esengine,1
makerbot,0
budget,9
alliances,9
reviews,9
business plans,9
pyogre,1
github,"1,2,3,4"
octave,0
litigation,9
academic writing,9
boto3,"1,2,3,4"
creative writing,9
reconcile,9
customer facing,9
anything goes,9
liclipse,0
regulatory requirements,9
web security,0
automation,"1,2,3,4"
plugin,1
leap motion sdk,0
heroku,0
raspberry pi,"1,2,3,4"
solrpy,1
auto cad,0
illustration,9
security clearance,9
project planning,9
cassandra,1
book artist,9
internal communications,9
autotask,0
interspire,0
gps,0
financial analysis/modeling,"2,3"
predictive analytics,"2,3"
opencv,"1,3"
standard operating procedures,9
quality standards,9
moving,9
django-storages,1
geospatial,0
palm,0
caricature / cartoons,9
logistics / shipping,9
dask,"1,2,3,4"
biology,9
minitlab,"2,3"
salesforce.com,0
freelancerapi,0
dart,0
estonian,9
queries,2
instagram,9
game consoles,9
mypy,1
pyfiglet,1
industry experience,9
investigations,9
supervisory experience,9
sdlc,9
malay,9
management experience,9
financing,9
netius,1
adobe flash,0
python-slugify,1
moviepy,1
home organization,9
web search,0
jython,1
spark,"1,2,3,4"
py2app,1
qlikview,0
steam api,0
startups,9
wiki,0
banking,9
vmware,0
therapeutic,9
epub,0
python-nameparser,4
expenses,9
portfolio management,9
linkedin,9
resource management,9
corel draw,0
eventlet,9
django-activity-stream,1
samsung accessory sdk,0
rq,1
cocoa,9
filipino,9
spiff,0
surfboard design,9
imaging,9
tamil,9
construction,9
bottle,9
hotels,9
objective c,0
russian,9
property management,9
keyboard,0
front-end,0
apache ant,0
rfps,9
merchandising,9
tv,9
transcription,9
malayalam,9
microstation,0
client relationships,9
driving record,9
panda3d,"1,2"
chef configuration management,9
transactions,9
architecture,9
cpr,9
budget management,9
livecode,0
structural engineering,9
ukrainian,9
httpie,0
c++,0
ms project,0
sql,"2,3"
mistune,1
sourcing,0
taobao api,0
employment law,9
pymc,1
reports,9
software architecture,0
ning,0
scrum development,0
research projects,9
httpretty,0
twython,1
artificial intelligence,"2,3,4"
solution architecture,0
talent acquisition,9
customer experience,9
mobile phone,0
pythonnet,1
visualization,"2,3"
html5lib,1
financial management,9
stakeholder management,9
electrical engineering,9
funcy,1
dynamic environment,0
django-compressor,1
software engineering,0
robot,0
google web toolkit,0
staffing,9
internal audit,9
governance,9
psd to html,0
lan,0
git,"1,2,3,4"
webassets,0
industrial design,9
metro,9
inspections,9
pipenv,"1,2,3,4"
distribution,9
dos,0
employee relations,9
pygal,1
cherrypy,1
partnership,9
digital marketing,0
apex,0
dhcp,0
django,1
risk management,9
microsoft office suite,0
shopify templates,0
journal entries,9
health,9
open journal systems,0
flyer design,9
mysql,"2,3,4"
life cycle,9
relationship building,9
pathpicker,0
banner design,9
food takeaway,9
oscommerce,0
pyparsing,1
python-prompt-toolkit,1
solaris,0
internal customers,9
alibaba,9
thai,9
visa / immigration,9
click,9
bathroom,9
weebly,0
accounts receivable,9
pivot tables,2
ad words,9
kannada,9
pendulum,9
blog,0
physical security,9
customer support,9
transportation,9
oculus mobile sdk,0
django-cms,1
computer software,0
argus monitoring software,0
customer requirements,9
line_profiler,9
mako,9
business cards,9
xgboost,2
grunt,0
beautifulsoup,1
hug,0
sublimejedi,1
psutil,1
prototyping,0
glass / mirror / glazing,9
bower,0
building surveyors,9
software testing,0
statsmodels,2
winpython,1
security,9
iphone,0
cuda,"2,3,4"
logbook,9
unoconv,0
furniture design,9
product quality,9
corporate identity,9
network automation,0
ibm bpm,0
txpostgres,1
scripting,1
call center,9
siebel,0
pysolr,1
bigcommerce,9
django-xadmin,1
pandas,"1,2,3,4"
microsoft excel,2
buyer sourcing,0
pattern matching,2
clpython,1
defining solutions and scope,9
virtuozzo,"2,3,4"
creative design,9
photo editing,9
wolfram,0
correspondence,9
maltese,9
aeronautical engineering,9
diskcache,0
welsh,9
.net,0
mural painting,9
id3reader,0
psychology,9
business writing,9
textile engineering,9
gooey,9
business catalyst,9
boonex dolphin,0
qualtrics survey platform,9
sql server,0
photoshop design,9
chrome os,0
landscape design,9
newspaper,9
active directory,0
unp,0
quality control,9
hospital,9
real estate,9
microsoft expression,0
microsoft hololens,0
3d model maker,0
magic leap,0
building designer,9
redhat,0
face recognition,"2,3"
ftfy,1
weasyprint,1
licensing,1
logistics,9
haskell,0
social media marketing,9
google maps api,0
xml,0
dating,9
cornice,9
technical support,9
marketing,9
book writing,9
pega prpc,0
freelance,9
nintex forms,9
sandman,0
asp,0
indesign,0
embedded software,0
profiling,9
clint,0
laundry and ironing,9
lotus notes,0
outreach,9
pythonlibs,1
pybuilder,1
ios,0
varnish cache,0
data entry,2
renewable energy design,9
pysdl2,1
housework,0
pypdf2,1
django-oscar,1
variances,9
python-currencies,1
pelican,1
apple safari,0
key performance indicators,9
gaap,9
conversion,9
copy typing,9
venv,1
grumpy,1
project delivery,9
vietnamese,9
general ledger,9
nude.py,1
internet security,0
treq,1
apsw,0
phonegap,0
furniture assembly,9
tinydb,0
microsoft word,0
try,0
research,9
pygobject,1
building,9
hashids,1
computer help,9
asp.net,0
schedule,9
m3u8,0
travel arrangements,9
public relations,9
xlwings,1
article rewriting,9
stripe,0
documentation,9
umbraco,0
catch phrases,4
factory_boy,1
regulatory,9
vim,0
furl,0
financial planning,9
zend,0
lithuanian,9
python-sql,1
help desk,9
salesforce,0
perl,0
pagan,0
oursql,0
wireframes,0
django-guardian,1
mixer,0
4d,0
peewee,0
erp,9
mamba,0
jedi-vim,0
user stories,9
ply,1
financial statements,9
videography,0
asyncio,1
logo design,9
complex projects,9
admissions,9
drains,9
flask-api-utils,1
virtualized networks,0
pcb layout,0
joblib,1
building architecture,9
internet marketing,9
strategic direction,9
d (programming language),0
apscheduler,0
stream-framework,1
print,1
adobe fireworks,0
moodle,0
templates,9
pentaho,"2,3,4"
jsp,0
prolog,0
bluetooth low energy (ble),0
geology,9
mimetypes,1
remote-pdb,1
hindi,9
cpg,9
webargs,0
wordpress,0
analytical,2
httplib2,1
whoosh,9
scheme,9
maya,0
nylas,0
photography,9
coaching,9
appliance repair,9
investment research,9
data center,"2,3,4"
toolz,1
xamarin,0
cartridge,9
fiction,9
pyicu,1
subversion,0
waitress,9
vb.net,0
google adsense,0
os,0
xlsxwriter,1
facebook,0
demolition,0
audio services,0
pivot,0
change management,9
xpages,0
business intelligence,9
system,9
nintex workflow,0
requests,9
pyaudioanalysis,1
newsletters,9
ctypes,1
personal development,9
marshmallow,0
django-crispy-forms,1
geotechnical engineering,9
testing / qa,1
search engine marketing,9
polish,9
